     Targets     | Originators | count | count | Conns |   Inbound    |  Outbound   |  TotalBytes  
 68.147.77.210   |           2 |     1 |    55 |   168 |   3596210705 | 20512749206 |  24108959911
 96.51.238.6     |           2 |     1 |    89 |   290 |  20603807372 |  2835249616 |  23439056988
 68.146.172.84   |           1 |     1 |    20 |    20 |  16178928534 |  7088897377 |  23267825911
 198.166.83.142  |           1 |     1 |    15 |    15 |  12164214991 | 10965130724 |  23129345715
 70.75.133.188   |           2 |     1 |    45 |   155 |  21210458395 |  1663114441 |  22873572836
 174.0.225.43    |           1 |     1 |    13 |    13 |  16451530862 |  6140043452 |  22591574314
 75.159.51.35    |           1 |     1 |    19 |    20 |  15445661675 |  7093015268 |  22538676943
 96.51.137.253   |           1 |     1 |    95 |   316 |  20357097949 |  1906781602 |  22263879551
 24.64.98.36     |           1 |     1 |     5 |     5 |   8276326230 | 13872398314 |  22148724544
 96.51.148.37    |           1 |     1 |    17 |    46 |  20941123648 |  1185795704 |  22126919352
 70.73.16.136    |           2 |     1 |    14 |    14 |  14487245089 |  7435415372 |  21922660461
 68.146.5.223    |           1 |     1 |     9 |     9 |  15955175312 |  5852612712 |  21807788024
 75.159.45.86    |           1 |     1 |    12 |    12 |   9060257022 | 12589226717 |  21649483739
 184.64.110.241  |           1 |     1 |   139 |   149 |  19845558680 |  1799406030 |  21644964710
 108.173.124.108 |           1 |     1 |    11 |    11 |  17226881157 |  4274706377 |  21501587534
 70.77.227.27    |           3 |     1 |    15 |    15 |  18409402388 |  3004520210 |  21413922598
 75.152.229.53   |           1 |     1 |     5 |     5 |   3468295562 | 17918901349 |  21387196911
 198.53.36.117   |           1 |     1 |     6 |     6 |  18813944655 |  2369101905 |  21183046560
 108.173.169.30  |           1 |     1 |    14 |    16 |  14980045458 |  6151245475 |  21131290933
 75.158.169.181  |           1 |     1 |    13 |    13 |  15477922766 |  5597350578 |  21075273344
 68.145.42.147   |           1 |     1 |    42 |   141 |  18087221901 |  2928426221 |  21015648122
 75.159.170.56   |           1 |     1 |    13 |    13 |  15537812502 |  5277797291 |  20815609793
 45.44.97.3      |           1 |     1 |    19 |    22 |  14840507432 |  5935591603 |  20776099035
 75.158.0.212    |           1 |     1 |     3 |     3 |   3466174454 | 17204992869 |  20671167323
 174.0.78.24     |           1 |     1 |    27 |    32 |  13767138344 |  6744696408 |  20511834752
 96.51.146.53    |           2 |     1 |     8 |    12 |  17596448978 |  2771400650 |  20367849628
 70.77.220.93    |           1 |     1 |    17 |    17 |  14797493735 |  5546508700 |  20344002435
 104.205.239.48  |           1 |     1 |    11 |    11 |  15354243981 |  4841596323 |  20195840304
 184.64.110.92   |           1 |     1 |    16 |    16 |  15845917668 |  4341256271 |  20187173939
 108.173.204.189 |           1 |     1 |    18 |    19 |  14232551584 |  5862010539 |  20094562123
