  Origins   | Flows 
 1551246645 |  1752
 2205137229 |  1751
 1268750774 |  1749
  677486597 |  1719
 1179508443 |  1708
  406912411 |  1707
 1807630750 |  1703
 3256490406 |  1681
  677475413 |  1656
 1551246647 |  1652
  401359895 |  1608
 3628252176 |  1587
 2728202638 |  1586
 1150504494 |  1570
 2919299686 |  1562
 2260660867 |  1527
 2310682969 |  1508
  406892244 |  1506
  677487765 |  1504
 1179513278 |  1461
  843223953 |  1456
  878727077 |  1447
  406890701 |  1433
 3091204670 |  1430
 3091227805 |  1426
 1150519124 |  1390
 1614012989 |  1387
  878727045 |  1382
  878723749 |  1377
 1179470895 |  1375
 3091228024 |  1368
  878727061 |  1355
 1150475495 |  1348
 3325074637 |  1346
 1758323875 |  1344
  386995757 |  1341
 2919298356 |  1338
  878726245 |  1335
  677483749 |  1330
 1150507254 |  1327
  878727109 |  1325
  878726917 |  1322
 2919296294 |  1321
  407013734 |  1319
 1121882457 |  1313
  677486901 |  1309
  878726949 |  1309
  386991492 |  1307
  878727093 |  1307
 2386251383 |  1306
  677485685 |  1305
 3256491347 |  1299
 3256491346 |  1288
 1179359938 |  1283
  878727141 |  1280
  878725429 |  1277
  878726997 |  1276
 1179229475 |  1273
  878726965 |  1266
  878727013 |  1266
  387009128 |  1265
  878726933 |  1255
  878727029 |  1254
 1150487103 |  1247
 1268472902 |  1247
 1268550511 |  1246
 2926833040 |  1244
 3256490320 |  1241
 3256490321 |  1240
  878726981 |  1239
 3636064389 |  1232
 2386259862 |  1230
  677478597 |  1228
 1268479303 |  1221
  677484949 |  1207
 1823282422 |  1202
  878727125 |  1198
 1150391923 |  1196
 1476086314 |  1188
  878723301 |  1187
 1150310892 |  1185
 3091211302 |  1179
 1823330263 |  1171
 3091249252 |  1164
 1179453128 |  1158
 3325408350 |  1158
 3091232993 |  1156
 1268764573 |  1151
 3256490360 |  1145
 3256490362 |  1144
  406891542 |  1143
 1268723129 |  1142
 1268689409 |  1142
 2919299492 |  1140
  677729493 |  1137
 3256490280 |  1132
 1268724147 |  1130
 3091234238 |  1130
 1268749188 |  1128
 2918107757 |  1124
 1476086520 |  1123
 3256490359 |  1122
  387009102 |  1121
 1179344248 |  1118
 3256491344 |  1106
 1150351304 |  1096
 1150350577 |  1083
 2394156124 |  1082
 3256490281 |  1082
 3091232912 |  1082
 1179452579 |  1080
 3332787992 |  1076
 1613988488 |  1072
  386995017 |  1055
  844982398 |  1054
 1823298672 |  1045
 2919278410 |  1045
  764236945 |  1034
